,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR
5877,2017-04-07T17:33:54,33.4828754,-84.6553711,0.0,0.0,92.5,0.244,1.0,68.85414181,1780.46875,0.0,0,-3.0,48765.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,-0.10767,0.57427
5886,2017-04-07T17:34:03,33.4849045,-84.6535482,0.0,0.3215,90.5,0.488,1.0,68.70501273,1775.0,0.0,0,-3.0,48766.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5895,2017-04-07T17:34:12,33.4868945,-84.6517491,0.0,0.8755,88.0,0.976,1.0,67.82266563,1746.875,0.0,0,0.0,48766.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.43068,0.25126
5904,2017-04-07T17:34:21,33.4889171,-84.6499154,0.0,1.367,89.5,0.976,1.0,72.58858268,1871.09375,0.0,0,0.0,48766.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5913,2017-04-07T17:34:30,33.4909353,-84.6478103,0.0,0.0,91.5,0.732,1.0,71.87400581,1857.8125,0.0,0,0.0,48766.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.0,0.0,2.0,1.95,2.0,1.78333333333,2.0,-0.32301,0.07181
5922,2017-04-07T17:34:39,33.4928581,-84.6456901,0.0,0.2105,91.5,0.732,1.0,70.27086813,1824.21875,0.0,0,-1.5,48771.2448148,0.0,68.0,65.0,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5931,2017-04-07T17:34:48,33.4947439,-84.6436068,0.0,2.276,91.0,0.488,1.0,69.02191203,1789.0625,0.0,0,-3.0,48766.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.7178,0.43071
5940,2017-04-07T17:34:57,33.4965864,-84.641569,0.0,0.4005,92.0,-0.976,1.0,66.12632228,1725.78125,0.0,0,-9.0,48771.2448148,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5949,2017-04-07T17:35:06,33.4987326,-84.6396094,0.0,1.715,90.5,-0.732,1.0,69.07162173,1787.5,0.0,0,-6.0,48771.2448148,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.32301,0.53838
5958,2017-04-07T17:35:16,33.5011545,-84.6380143,0.0,0.0,86.5,0.976,1.0,66.44322159,1717.1875,0.0,0,-1.5,48767.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5967,2017-04-07T17:35:25,33.5032964,-84.636684,0.0,0.0,83.5,0.488,1.0,64.94571701,1677.34375,0.0,0,-3.0,48767.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,-0.17945,0.35893
5976,2017-04-07T17:35:34,33.5053537,-84.6353885,0.0,0.0,89.7957166392,0.732,1.0,60.53398155,1565.625,0.0,0,-3.0,48767.0,0.0,68.0,65.0,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5985,2017-04-07T17:35:43,33.5073372,-84.6341341,0.0,1.4715,83.5,0.488,1.0,61.12428418,1566.40625,0.0,0,-4.5,48767.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.53835,0.86139
5994,2017-04-07T17:35:52,33.5092925,-84.6328971,0.0,2.4145,88.5,0.732,1.0,59.88775551,2290.625,0.0,0,-1.5,48768.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
6003,2017-04-07T17:36:01,33.5111697,-84.6317101,0.0,0.8,92.0,0.488,1.0,54.64959636,1417.1875,0.0,0,-4.5,48771.2448148,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.0,0.0,2.0,1.95,2.0,1.78333333333,2.0,0.25123,0.68194
