,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
396,2017-03-03T14:11:42,33.6383355,-112.2283854,0.0,0.2415,999.0,999.0,3.0,16.97586097,1053.90625,0.14,1.0,1.5,16446.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-1.801842222,-1.801842222,0.454545454545,2.18181818182,2.0,0.0,2.0
407,2017-03-03T14:11:53,33.638329,-112.2287305,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.1,1.0,-3.0,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.050756119,0.050756119,0.454545454545,2.18181818182,2.0,0.0,2.0
418,2017-03-03T14:12:04,33.638329,-112.2287283,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-3.0,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.304536714,0.304536714,0.454545454545,2.18181818182,2.0,0.0,2.0
429,2017-03-03T14:12:15,33.6383116,-112.2296723,0.0,1.518,999.0,999.0,3.0,39.42600215,1482.03125,0.0,1.0,0.0,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
440,2017-03-03T14:12:26,33.6382617,-112.2318381,0.0,0.0,999.0,999.0,3.0,32.10003579,0.0,0.06,1.0,4.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-1.294281033,-1.294281033,0.454545454545,2.18181818182,1.0,0.0,1.0
451,2017-03-03T14:12:37,33.6382552,-112.2329232,0.0,0.0,999.0,999.0,3.0,3.529388372,0.0,0.02,1.0,1.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.406048951,-0.406048951,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
462,2017-03-03T14:12:48,33.6382552,-112.2335135,0.0,2.035,999.0,999.0,3.0,31.50973316,1642.96875,0.0,1.0,0.0,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,1.218146854,1.218146854,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
473,2017-03-03T14:12:59,33.6382205,-112.2353255,0.0,0.0,999.0,999.0,3.0,32.97616917,0.0,0.0,1.0,-4.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
484,2017-03-03T14:13:10,33.6381749,-112.2368142,0.0,0.0,999.0,999.0,3.0,10.73108049,0.0,0.0,1.0,0.0,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.989744319,-0.989744319,0.454545454545,2.18181818182,2.0,0.0,2.0
495,2017-03-03T14:13:21,33.6381727,-112.237066,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.04,1.0,-4.5,16647.9192271,0.0,69.8999290277,66.0,72.0,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
506,2017-03-03T14:13:32,33.6381749,-112.2370638,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.06,1.0,-4.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.076134178,0.076134178,0.454545454545,2.18181818182,2.0,0.0,2.0
517,2017-03-03T14:13:43,33.6381749,-112.2370681,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.06,1.0,-4.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.101512238,0.101512238,0.454545454545,2.18181818182,2.0,0.0,2.0
528,2017-03-03T14:13:54,33.6381727,-112.237066,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.08,1.0,-4.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.0,0.0,2.0,1.85365853659,2.0,1.92682926829,2.0,0.126890297,0.126890297,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
539,2017-03-03T14:14:05,33.6381706,-112.237066,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.1,1.0,-4.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,1.0,1.0,0.0,2.0,1.85365853659,2.0,1.92682926829,2.0,0.101512238,0.101512238,0.454545454545,2.18181818182,2.0,0.0,2.0
550,2017-03-03T14:14:16,33.6381706,-112.2370638,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.1,1.0,-4.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.101512238,0.101512238,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
561,2017-03-03T14:14:27,33.6381424,-112.2375955,0.0,2.1465,999.0,999.0,3.0,34.51716973,1916.40625,0.0,1.0,-22.5,16447.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,1.091256557,1.091256557,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
572,2017-03-03T14:14:38,33.6369097,-112.2388043,0.0,3.9255,999.0,999.0,3.0,52.88490217,3368.75,0.0,1.0,-1.5,16447.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,1.294281033,1.294281033,0.454545454545,2.18181818182,1.0,0.0,1.0
